All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
PNI,Pinnacle Investment,Financials,"880,275,000",0.05,,
PNR,Pantoro Limited,Materials,"236,813,000",0.01,,
PNV,Polynovo Limited,Health Care,"352,077,000",0.02,,
PPC,Peet Limited,Real Estate,"646,774,000",0.03,,
PPG,Pro-Pac Packaging,Materials,"215,956,000",0.01,,
PPH,Pushpay Holdings Limited Foreign Exempt NZX,Information Technology,"1,054,590,000",0.05,,
PPS,Praemium Limited,Information Technology,"352,412,000",0.02,,
PPT,Perpetual Limited,Financials,"1,937,500,000",0.1,,
PRU,Perseus Mining Limited,Materials,"444,975,000",0.02,,
PRY,Primary Health Care,Health Care,"1,821,270,000",0.09,,
PSI,PSC Insurance Limited,Financials,"699,078,000",0.04,,
PSQ,Pacific Smiles Group,Health Care,"238,630,000",0.01,,
PTM,Platinum Asset,Financials,"3,379,270,000",0.17,,
PWH,PWR Holdings Limited,Consumer Discretionary,"271,000,000",0.01,,
QAN,Qantas Airways,Industrials,"10,370,800,000",0.53,,
QBE,QBE Insurance Group,Financials,"13,209,100,000",0.68,,
QIP,QANTM Intellectual,Industrials,"139,550,000",0.01,,
QMS,QMS Media Limited,Consumer Discretionary,"353,484,000",0.02,,
QUB,QUBE Holdings Limited,Industrials,"3,868,020,000",0.2,,
RBL,Redbubble Limited,Information Technology,"328,556,000",0.02,,
RCR,RCR Tomlinson,Industrials,"492,767,000",0.03,,
REA,REA Group,Information Technology,"11,968,900,000",0.62,,
REG,Regis Healthcare Limited,Health Care,"985,753,000",0.05,,
REH,Reece Limited,Industrials,"7,094,410,000",0.36,,
REX,Regional Express,Industrials,"157,521,000",0.01,,
RFF,Rural Funds Group Stapled Securities FP,Real Estate,"541,937,000",0.03,,
RFG,Retail Food Group,Consumer Discretionary,"98,682,600",0.01,,
RHC,Ramsay Health Care,Health Care,"10,908,300,000",0.56,,
RHL,Ruralco Holdings,Consumer Discretionary,"322,193,000",0.02,,
RIC,Ridley Corporation,Consumer Staples,"423,248,000",0.02,,
RIO,RIO Tinto Limited,Materials,"34,411,900,000",1.77,,
RKN,Reckon Limited,Information Technology,"109,896,000",0.01,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"20,124,000,000",1.03,,
RMS,Ramelius Resources,Materials,"306,535,000",0.02,,
RND,Rand Mining Limited,Materials,"162,401,000",0.01,,
RRL,Regis Resources,Materials,"2,582,670,000",0.13,,
RSG,Resolute Mining,Materials,"945,384,000",0.05,,
